Associate's degree
Associate of Arts (A.A.)
Associate of Arts (AA)
Associate of Arts and Sciences (A.A.S.)
Associate of Arts and Sciences (AAS)
Associate of Science (A.S.)
Associate of Science (AS)
Bachelor's degree
Bachelor of Applied Science (B.A.Sc.)
Bachelor of Applied Science (BASc)
Bachelor of Architecture (B.Arch.)
Bachelor of Architecture (BArch)
Bachelor of Arts (B.A.)
Bachelor of Arts (BA)
Bachelor of Business Administration (B.B.A.)
Bachelor of Business Administration (BBA)
Bachelor of Commerce (B.Com.)
Bachelor of Commerce (BCom)
Bachelor of Education (B.Ed.)
Bachelor of Education (BEd)
Bachelor of Engineering (B.E.)
Bachelor of Engineering (B.Eng.)
Bachelor of Engineering (BE)
Bachelor of Engineering (BEng)
Bachelor of Fine Arts (B.F.A.)
Bachelor of Fine Arts (BFA)
Bachelor of Laws (LL.B.)
Bachelor of Laws (LLB)
"Bachelor of Medicine, Bachelor of Surgery (M.B.B.S.)"
"Bachelor of Medicine, Bachelor of Surgery (MBBS)"
Bachelor of Pharmacy (B.Pharm.)
Bachelor of Pharmacy (BPharm)
Bachelor of Science (B.S.)
Bachelor of Science (B.Sc.)
Bachelor of Science (BS)
Bachelor of Science (BSc)
Bachelor of Technology (B.Tech.)
Bachelor of Technology (BTech)
Doctor of Education (Ed.D.)
Doctor of Education (EdD)
Doctor of Law (J.D.)
Doctor of Law (JD)
Doctor of Medicine (M.D.)
Doctor of Medicine (MD)
Doctor of Pharmacy (Pharm.D.)
Doctor of Pharmacy (PharmD)
Doctor of Philosophy (Ph.D.)
Doctor of Philosophy (PhD)
Engineer's degree
Foundation degree
Licentiate degree
Master's degree
Master of Architecture (M.Arch.)
Master of Architecture (MArch)
Master of Arts (M.A.)
Master of Arts (MA)
Master of Business Administration (M.B.A.)
Master of Business Administration (MBA)
Master of Computer Applications (M.C.A.)
Master of Computer Applications (MCA)
Master of Divinity (M.Div.)
Master of Divinity (MDiv)
Master of Education (M.Ed.)
Master of Education (MEd)
Master of Engineering (M.Eng.)
Master of Engineering (MEng)
Master of Fine Arts (M.F.A.)
Master of Fine Arts (MFA)
Master of Laws (LL.M.)
Master of Laws (LLM)
Master of Library & Information Science (M.L.I.S.)
Master of Library & Information Science (MLIS)
Master of Philosophy (M.Phil.)
Master of Philosophy (MPhil)
Master of Public Administration (M.P.A.)
Master of Public Administration (MPA)
Master of Public Health (M.P.H.)
Master of Public Health (MPH)
Master of Science (M.S.)
Master of Science (M.Sc.)
Master of Science (MS)
Master of Science (MSc)
Master of Social Work (M.S.W.)
Master of Social Work (MSW)
Master of Technology (M.Tech.)
Master of Technology (MTech)
Research Doctorate
